title,released,url
4 Jukir Mabuk Pengeroyok Oknum Polisi di Tangsel Jadi Tersangka,03/1/2024 22:32 WIB,https://news.detik.com/berita/d-7123251/4-jukir-mabuk-pengeroyok-oknum-polisi-di-tangsel-jadi-tersangka
Dirut Jasa Raharja Sambut Baik 4 Terminal Bus Baru di Purworejo-Blitar,03/1/2024 22:30 WIB,https://news.detik.com/berita/d-7123250/dirut-jasa-raharja-sambut-baik-4-terminal-bus-baru-di-purworejo-blitar
Jasa Raharja Jamin Santunan Korban Kecelakaan Bus Bhinneka di Tol Japek,03/1/2024 22:26 WIB,https://news.detik.com/berita/d-7123245/jasa-raharja-jamin-santunan-korban-kecelakaan-bus-bhinneka-di-tol-japek
Cak Imin Terima Dukungan Laskar Santri AMIN Jawa Barat di Sumedang,03/1/2024 22:21 WIB,https://news.detik.com/pemilu/d-7123234/cak-imin-terima-dukungan-laskar-santri-amin-jawa-barat-di-sumedang
"Sowan ke Ponpes Assyfa di Sumedang, Cak Imin Didoakan Abuya Muhyiddin",03/1/2024 22:16 WIB,https://news.detik.com/pemilu/d-7123230/sowan-ke-ponpes-assyfa-di-sumedang-cak-imin-didoakan-abuya-muhyiddin
Pengacara Ungkap James Merasa Dihantui-Tak Bisa Tidur Usai Mutilasi Istri,04/1/2024 23:32 WIB,https://news.detik.com/berita/d-7125167/pengacara-ungkap-james-merasa-dihantui-tak-bisa-tidur-usai-mutilasi-istri
"Prabowo Soal Program Bagi Susu Gratis: Mungkin Harus Impor 1,5 Juta Sapi",04/1/2024 23:18 WIB,https://news.detik.com/pemilu/d-7125161/prabowo-soal-program-bagi-susu-gratis-mungkin-harus-impor-1-5-juta-sapi
MenPAN-RB dan Mensos Bahas Integrasi Layanan Sosial di Portal Nasional,04/1/2024 23:03 WIB,https://news.detik.com/berita/d-7125156/menpan-rb-dan-mensos-bahas-integrasi-layanan-sosial-di-portal-nasional
AS dan China Kerahkan Kapal Perang Bikin Laut China Selatan Kian Tegang,04/1/2024 23:00 WIB,https://news.detik.com/internasional/d-7125155/as-dan-china-kerahkan-kapal-perang-bikin-laut-china-selatan-kian-tegang
"Aniaya Anak Anggota DPRD Kepri, Seleb TikTok Satria Mahathir Ditangkap",04/1/2024 22:42 WIB,https://news.detik.com/berita/d-7125146/aniaya-anak-anggota-dprd-kepri-seleb-tiktok-satria-mahathir-ditangkap
TKN Prabowo-Gibran Tegaskan Program Bagi-bagi Susu Tetap Lanjut,04/1/2024 22:35 WIB,https://news.detik.com/pemilu/d-7125142/tkn-prabowo-gibran-tegaskan-program-bagi-bagi-susu-tetap-lanjut
Bantahan AS di Balik Ledakan Maut Tewaskan Puluhan Orang di Iran,04/1/2024 22:32 WIB,https://news.detik.com/internasional/d-7125140/bantahan-as-di-balik-ledakan-maut-tewaskan-puluhan-orang-di-iran
"Gibran Disebut Langgar Aturan CFD, Anies Singgung Kampanye Dihalangi",04/1/2024 22:27 WIB,https://news.detik.com/pemilu/d-7125137/gibran-disebut-langgar-aturan-cfd-anies-singgung-kampanye-dihalangi
"Todong Sajam-Peras Turis Asing, Sopir Taksi di Bali Diburu Polisi",04/1/2024 22:21 WIB,https://news.detik.com/berita/d-7125134/todong-sajam-peras-turis-asing-sopir-taksi-di-bali-diburu-polisi
"Hujan Lebat, Rumah Kosong Tak Beratap di Pasar Minggu Roboh",04/1/2024 22:13 WIB,https://news.detik.com/berita/d-7125126/hujan-lebat-rumah-kosong-tak-beratap-di-pasar-minggu-roboh
3 Fakta Jalan Olimo Jakbar Ambles hingga Sempat Bikin Macet,04/1/2024 22:03 WIB,https://news.detik.com/berita/d-7125120/3-fakta-jalan-olimo-jakbar-ambles-hingga-sempat-bikin-macet
"Komunitas Basket Jakarta Gabung Gaspol Bro, Ikut Dukung ke Prabowo-Gibran",04/1/2024 21:59 WIB,https://news.detik.com/pemilu/d-7125171/komunitas-basket-jakarta-gabung-gaspol-bro-ikut-dukung-ke-prabowo-gibran
Pemkot Semarang Beri Santunan Program JKK Rp 255 Juta ke Pegawai Non-ASN,04/1/2024 21:56 WIB,https://news.detik.com/berita/d-7125111/pemkot-semarang-beri-santunan-program-jkk-rp-255-juta-ke-pegawai-non-asn
Viral Pajero Ringsek Ditabrak Bus Haryanto lalu Ditinggal di Tol Batang,04/1/2024 21:53 WIB,https://news.detik.com/berita/d-7125108/viral-pajero-ringsek-ditabrak-bus-haryanto-lalu-ditinggal-di-tol-batang
TKN Nilai Bawaslu Jakpus Tak Profesional Soal Gibran Bagi-bagi Susu,04/1/2024 21:47 WIB,https://news.detik.com/pemilu/d-7125105/tkn-nilai-bawaslu-jakpus-tak-profesional-soal-gibran-bagi-bagi-susu
"Jakarta Hujan, 24 RT dan 8 Jalan Masih Tergenang hingga Banjir 1,2 Meter",04/1/2024 21:42 WIB,https://news.detik.com/berita/d-7125100/jakarta-hujan-24-rt-dan-8-jalan-masih-tergenang-hingga-banjir-1-2-meter
"Sepakat TPN Ganjar-Mahfud, Relawan JAMAN Nilai Bansos Perlu Terus Dilanjut",05/1/2024 23:43 WIB,https://news.detik.com/pemilu/d-7126973/sepakat-tpn-ganjar-mahfud-relawan-jaman-nilai-bansos-perlu-terus-dilanjut
Respons Anies soal Jokowi Dinner Bareng Prabowo: Kan Menteri dengan Presiden,05/1/2024 23:38 WIB,https://news.detik.com/pemilu/d-7126928/respons-anies-soal-jokowi-dinner-bareng-prabowo-kan-menteri-dengan-presiden
Prabowo Unggah Momen Penuh Tawa Saat Bertemu 4 Mata dengan Jokowi,05/1/2024 23:34 WIB,https://news.detik.com/pemilu/d-7126927/prabowo-unggah-momen-penuh-tawa-saat-bertemu-4-mata-dengan-jokowi
"Kini Giliran Komunitas Ondel-ondel Gabung Gaspoll Bro, Dukung Prabowo-Gibran",05/1/2024 23:23 WIB,https://news.detik.com/pemilu/d-7126967/kini-giliran-komunitas-ondel-ondel-gabung-gaspoll-bro-dukung-prabowo-gibran
"Video Call, Kapolri Puji Polisi Kalbar Korbankan Motor Ganjal Bus Gagal Nanjak",05/1/2024 23:18 WIB,https://news.detik.com/berita/d-7126906/video-call-kapolri-puji-polisi-kalbar-korbankan-motor-ganjal-bus-gagal-nanjak
"Ikut Dukung Prabowo-Gibran, Ibu-ibu Komunitas Senam Jabar Gabung Gaspoll Bro",05/1/2024 22:57 WIB,https://news.detik.com/pemilu/d-7126962/ikut-dukung-prabowo-gibran-ibu-ibu-komunitas-senam-jabar-gabung-gaspoll-bro
"Warga Belum Bisa Tempati Kampung Susun Bayam, Anies: Tega Sekali",05/1/2024 22:56 WIB,https://news.detik.com/pemilu/d-7126875/warga-belum-bisa-tempati-kampung-susun-bayam-anies-tega-sekali
Jubir Prabowo Ungkap Alasan MEF Tak Capai Target di 2024,05/1/2024 22:39 WIB,https://news.detik.com/berita/d-7126873/jubir-prabowo-ungkap-alasan-mef-tak-capai-target-di-2024
"5 RT di Jaksel Masih Kebanjiran, Tinggi Air di Cilandak Timur 75 Cm",05/1/2024 22:32 WIB,https://news.detik.com/berita/d-7126866/5-rt-di-jaksel-masih-kebanjiran-tinggi-air-di-cilandak-timur-75-cm
4 Kesaksian Ngeri saat Kereta Adu Banteng di Cicalengka,05/1/2024 22:27 WIB,https://news.detik.com/berita/d-7126864/4-kesaksian-ngeri-saat-kereta-adu-banteng-di-cicalengka
"Banjir Rendam Rumah di Bakti Jaya Tangsel, Akses Masuk Perumahan Terputus",05/1/2024 22:09 WIB,https://news.detik.com/berita/d-7126857/banjir-rendam-rumah-di-bakti-jaya-tangsel-akses-masuk-perumahan-terputus
Tangis Ibunda Pecah Sambut Jenazah Julian Masinis KA Lokal Bandung,05/1/2024 22:09 WIB,https://news.detik.com/berita/d-7126856/tangis-ibunda-pecah-sambut-jenazah-julian-masinis-ka-lokal-bandung
"Canda Anies-Cak Imin di 'Resolusi Indonesia', Singgung Jalur MK dan Paman",05/1/2024 22:08 WIB,https://news.detik.com/pemilu/d-7126855/canda-anies-cak-imin-di-resolusi-indonesia-singgung-jalur-mk-dan-paman
Kapolres Jakbar: Pemukul-Ancam Tembak Asisten Saipul Jamil Bukan Polisi,06/1/2024 23:44 WIB,https://news.detik.com/berita/d-7128121/kapolres-jakbar-pemukul-ancam-tembak-asisten-saipul-jamil-bukan-polisi
"Cak Imin Jenguk Warga Sakit Saraf Kaki di Mojokerto, Beri Bantuan Pengobatan",06/1/2024 23:26 WIB,https://news.detik.com/pemilu/d-7128114/cak-imin-jenguk-warga-sakit-saraf-kaki-di-mojokerto-beri-bantuan-pengobatan
Polsek Menteng Sebar Edaran Larangan Tawuran,06/1/2024 23:06 WIB,https://news.detik.com/berita/d-7128108/polsek-menteng-sebar-edaran-larangan-tawuran
Hasto Anggap Program Susu Gratis Prabowo-Gibran Tak Selesaikan Stunting,06/1/2024 22:47 WIB,https://news.detik.com/pemilu/d-7128099/hasto-anggap-program-susu-gratis-prabowo-gibran-tak-selesaikan-stunting
